latitude,longitude,altitude,geometry,id,name,coordinates,totalDocks,docksAvailable,bikesAvailable,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,rewardBikesAvailable,rewardDocksAvailable,kioskStatus,kioskPublicStatus,kioskConnectionStatus,kioskType,addressStreet,addressCity,addressState,addressZipCode,bikes,closeTime,eventEnd,eventStart,isEventBased,isVirtual,kioskId,notes,openTime,publicText,timeZone,trikesAvailable
39.95373,-75.21825,,Point,,3112,48th & Spruce,18,16,1,1,0,0,2,16,FullService,Active,Active,1,310 S. 48th Street,Philadelphia,PA,19139,13|false|false|null|14|false|true|null,,,,false,false,3112,,,,,0
39.97472,-75.19781,,Point,,3113,Philadelphia Zoo,12,9,3,3,0,0,3,9,FullService,Active,Active,1,1046 N. 34th Street,Philadelphia,PA,19104,5|false|true|null|10|false|true|null|12|false|true|null,,,,false,false,3113,,,,,0
39.93775,-75.18012,,Point,,3114,22nd & Federal,17,10,5,5,0,0,6,10,FullService,Active,Active,1,22nd & Federal St.,Philadelphia,PA,19146,8|false|false|null|10|false|true|null|12|false|true|null|14|false|true|null|15|false|false|null|16|false|true|null|17|false|true|null,,,,false,false,3114,,,,,0
39.97263,-75.16757,,Point,,3115,"19th & Girard, PTTI",23,21,2,0,0,2,2,21,FullService,Active,Active,1,1901 W. Girard St..,Philadelphia,PA,19130,16|true|true|0.8|23|true|true|0.8,,,,false,false,3115,,,,,0
39.96006,-75.17198,,Point,,3116,Barnes Foundation,21,10,7,7,0,0,7,11,FullService,Active,Active,1,2025 Benjamin Franklin Pkwy,Philadelphia,PA,19122,2|false|false|null|6|false|true|null|7|false|false|null|13|false|true|null|14|false|true|null|15|false|true|null|16|false|false|null|17|false|true|null|18|false|true|null|19|false|true|null|20|false|true|null,,,,false,false,3116,,,,,0
39.97841,-75.22399,,Point,,3117,ParkWest Town Center,19,14,5,3,0,2,5,14,FullService,Active,Active,1,1575 N 52nd St.,Philadelphia,PA,19131,1|false|true|null|2|false|true|null|3|true|true|0.8|9|false|true|null|16|true|true|0.8,,,,false,false,3117,,,,,0
39.95866,-75.21323,,Point,,3118,"46th Street Station, MFL",23,16,6,1,0,5,6,16,FullService,Active,Active,1,4628 Market Street,Philadelphia,PA,19139,12|true|true|0.8|13|false|false|null|16|true|true|0.8|17|true|true|0.8|20|true|true|0.8|21|true|true|0.8|23|false|true|null,,,,false,false,3118,,,,,0
39.96674,-75.20799,,Point,,3119,42nd & Lancaster,17,9,8,5,0,3,8,9,FullService,Active,Active,1,4209 Lancaster Avenue,Philadelphia,PA,19104,3|true|true|0.8|5|false|true|null|6|false|true|null|10|true|true|0.8|11|true|true|0.8|14|false|true|null|15|false|true|null|17|false|true|null,,,,false,false,3119,,,,,0
39.97522,-75.18669,,Point,,3120,31st & Girard,19,11,8,8,0,0,8,11,FullService,Active,Active,1,1210 N. 31st Street,Philadelphia,PA,19121,1|false|true|null|2|false|true|null|3|false|true|null|5|false|true|null|7|false|true|null|10|false|true|null|12|false|true|null|18|false|true|null,,,,false,false,3120,,,,,0
39.97414,-75.18022,,Point,,3121,27th & Girard,18,12,6,3,0,3,6,12,FullService,Active,Active,1,2698 W Girard,Philadelphia,PA,19130,5|true|true|0.8|6|true|true|0.8|12|true|true|0.8|14|false|true|null|15|false|true|null|16|false|true|null,,,,false,false,3121,,,,,0
39.98004,-75.17088,,Point,,3123,22nd & Cecil B. Moore,19,14,5,4,0,1,5,14,FullService,Active,Active,1,1637 N. 22nd Street,Philadelphia,PA,19121,10|false|true|null|11|false|true|null|12|false|true|null|15|true|true|0.8|18|false|true|null,,,,false,false,3123,,,Touchscreen temporarily unavailable. Please use your Indego key to check out a bike.,,0
39.95362,-75.13954,,Point,,3124,Race Street Pier,23,16,7,7,0,0,7,16,FullService,Active,Active,1,190 N Christopher Columbus Blvd (approx.),Philadelphia,PA,19106,1|false|true|null|4|false|true|null|5|false|true|null|7|false|true|null|10|false|true|null|11|false|true|null|22|false|true|null,,,,false,false,3124,,,,,0
39.94391,-75.16735,,Point,,3125,15th & South,19,14,5,2,0,3,5,14,FullService,Active,Active,1,1505 South St. ,Philadelphia ,PA,19146,1|false|true|null|3|true|true|0.8|4|false|true|null|14|true|true|0.8|15|true|true|0.8,,,,false,false,3125,,,,,0
39.92884,-75.17021,,Point,,3150,"15th & Castle, DiSilvestro Playground",17,10,6,6,0,0,7,10,FullService,Active,Active,1,1487 Castle Street,Philadelphia,PA,19145,2|false|true|null|5|false|true|null|7|false|true|null|9|false|false|null|12|false|true|null|14|false|true|null|17|false|true|null,,,,false,false,3150,,,,,0
39.94993,-75.20286,,Point,,3152,"40th & Baltimore, Trolley Portal",17,12,5,5,0,0,5,12,FullService,Active,Active,1,"3960 Baltimore Ave,",Philadelphia,PA,19104,1|false|true|null|2|false|true|null|4|false|true|null|7|false|true|null|9|false|true|null,,,,false,false,3152,,,,,0
39.97216,-75.12994,,Point,,3153,"Thompson & Palmer, Adaire School",11,1,10,6,0,4,10,1,FullService,Active,Active,1,448 East Thompson Street,Philadelphia,PA,19125,1|true|true|0.8|2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|6|true|true|0.8|7|false|true|null|8|false|true|null|10|true|true|0.8|11|true|true|0.8,,,,false,false,3153,,,,,0
39.95924,-75.15821,,Point,,3154,12th & Callowhill,19,14,4,4,0,0,4,15,FullService,Active,Active,1,403 N. 12th Street,Philadelphia,PA,19123,1|false|false|null|4|false|true|null|6|false|true|null|8|false|true|null|14|false|true|null,,,,false,false,3154,,,,,0
39.94018,-75.15442,,Point,,3155,7th & Fitzwater,18,14,3,3,0,0,3,15,FullService,Active,Active,1,736 S. 7th St.,Philadelphia,PA,19147,1|false|true|null|3|false|true|null|5|false|true|null|13|false|false|null,,,,false,false,3155,,,,,0
